step,metric,mean,std,type
0,ma_f_b,0.5723820567131043,0.012100324894327255,predictive
0,ma_prec,0.5802650809288025,0.010470126153201314,predictive
0,ma_rec,0.6147063970565796,0.01717701201920346,predictive
0,mae,0.35859631896018984,0.01701312796673041,predictive
0,mi_acc,0.6414036631584168,0.017013101403992554,predictive
0,mi_auc,0.6147064091650789,0.017177026319965445,predictive
0,mi_f_b,0.7438783526420594,0.016748560191865852,predictive
0,mi_prec,0.8505812048912048,0.01949134698767537,predictive
0,mi_rec,0.661050808429718,0.01702713556311707,predictive
0,rmse,0.5986967206001281,0.014078709023030274,predictive
0,meta_doa,0.5230910004503382,0.01878831642829543,meta
0,pc-er,0.094061279296875,0.05258145235367995,meta
0,rm,0.1537395161574072,0.0523811601198427,meta
1,ma_f_b,0.5760867118835449,0.012531173634914749,predictive
1,ma_prec,0.5830259442329406,0.010439965008959677,predictive
1,ma_rec,0.6165517330169678,0.015287076532303627,predictive
1,mae,0.35703731775283815,0.01586726540644011,predictive
1,mi_acc,0.6429626822471619,0.015867230629413642,predictive
1,mi_auc,0.6165517242728692,0.015287088199085646,predictive
1,mi_f_b,0.7441661596298218,0.015584203591091935,predictive
1,mi_prec,0.8480541110038757,0.01705940920818124,predictive
1,mi_rec,0.6630445837974548,0.016789731602985768,predictive
1,rmse,0.5974092841148376,0.013204113350640064,predictive
1,meta_doa,0.5343945998123647,0.018547030668122598,meta
1,pc-er,0.1435546875,0.07023668175071521,meta
1,rm,0.1972581742900063,0.05362347368349897,meta
2,ma_f_b,0.5803049087524415,0.012246133377645636,predictive
2,ma_prec,0.5864549398422241,0.01099492584832664,predictive
2,ma_rec,0.6207559823989868,0.018452931084556846,predictive
2,mae,0.35423927307128905,0.01718652178340515,predictive
2,mi_acc,0.645760715007782,0.017186501623158913,predictive
2,mi_auc,0.620755995458899,0.018452916547433834,predictive
2,mi_f_b,0.7457335710525512,0.017000651712072015,predictive
2,mi_prec,0.8485313057899475,0.020202047766415102,predictive
2,mi_rec,0.66522616147995,0.016650264641494387,predictive
2,rmse,0.5950424432754516,0.01430751422534481,predictive
2,meta_doa,0.5452672161016653,0.02667589603193065,meta
2,pc-er,0.15059814453125,0.06708046349217468,meta
2,rm,0.22893903276886882,0.05021633090427649,meta
3,ma_f_b,0.5843809843063354,0.010641887689015608,predictive
3,ma_prec,0.5897719144821167,0.01005781471089282,predictive
3,ma_rec,0.6245403170585633,0.01896973655987476,predictive
3,mae,0.3516364276409149,0.017216339641302904,predictive
3,mi_acc,0.6483635663986206,0.01721629201501211,predictive
3,mi_auc,0.6245403102214887,0.018969732232078148,predictive
3,mi_f_b,0.7470887780189515,0.017610779443290387,predictive
3,mi_prec,0.8484981298446655,0.022586861545163636,predictive
3,mi_rec,0.6674034237861634,0.016000061669314277,predictive
3,rmse,0.5928496718406677,0.01439116237024129,predictive
3,meta_doa,0.5509686351158509,0.01804047001898715,meta
3,pc-er,0.16708984375,0.07096520897309412,meta
3,rm,0.2518504534751055,0.04823429005462758,meta
4,ma_f_b,0.5891456007957458,0.008266050944318485,predictive
4,ma_prec,0.5936760425567627,0.008241169015440582,predictive
4,ma_rec,0.6281611323356628,0.015437573219502112,predictive
4,mae,0.3487280964851379,0.013713777652511553,predictive
4,mi_acc,0.6512718915939331,0.013713725609151519,predictive
4,mi_auc,0.6281611284600271,0.015437560612989053,predictive
4,mi_f_b,0.7485511422157287,0.014952527156250912,predictive
4,mi_prec,0.847873306274414,0.019606963799119814,predictive
4,mi_rec,0.6701180934906006,0.013485279312152416,predictive
4,rmse,0.5904420137405395,0.011529201401544524,predictive
4,meta_doa,0.5590481003742825,0.016061045126234828,meta
4,pc-er,0.1841552734375,0.06570193458594561,meta
4,rm,0.2724058877264825,0.04731594431058888,meta
5,ma_f_b,0.5935890316963196,0.012251120770101922,predictive
5,ma_prec,0.5970072507858276,0.01177933149906694,predictive
5,ma_rec,0.629779040813446,0.01790135537649944,predictive
5,mae,0.34706429243087766,0.014508472836282723,predictive
5,mi_acc,0.6529357075691223,0.014508436688300059,predictive
5,mi_auc,0.6297790497954164,0.017901356543932982,predictive
5,mi_f_b,0.7484663367271424,0.01533239294840034,predictive
5,mi_prec,0.8434434413909913,0.020382805360399534,predictive
5,mi_rec,0.6727514743804932,0.012745591482973398,predictive
5,rmse,0.5890205860137939,0.012197576186799862,predictive
5,meta_doa,0.5596346511646395,0.022293297135310055,meta
5,pc-er,0.1843505859375,0.06910579526109406,meta
5,rm,0.2862258268142324,0.04827428489311513,meta
6,ma_f_b,0.5994209885597229,0.012389326482377625,predictive
6,ma_prec,0.6017258048057557,0.01184313882634212,predictive
6,ma_rec,0.6332100868225098,0.01712013815022897,predictive
6,mae,0.34416821599006653,0.013074537497015284,predictive
6,mi_acc,0.655831778049469,0.01307450758160497,predictive
6,mi_auc,0.6332100872310849,0.017120153582215556,predictive
6,mi_f_b,0.7493029117584229,0.014133956593573286,predictive
6,mi_prec,0.8400759339332581,0.0198374874090223,predictive
6,mi_rec,0.6762883186340332,0.011627457299820232,predictive
6,rmse,0.5865745306015014,0.011098489465285171,predictive
6,meta_doa,0.5635657401283545,0.024713060775279332,meta
6,pc-er,0.18863525390625,0.07103925334955545,meta
6,rm,0.2975810240123457,0.0474226104558918,meta
7,ma_f_b,0.6038066506385803,0.013244832872008337,predictive
7,ma_prec,0.6053228139877319,0.01283161827884415,predictive
7,ma_rec,0.6362160682678223,0.019764795927453453,predictive
7,mae,0.34189170598983765,0.015042413930053573,predictive
7,mi_acc,0.6581082820892334,0.015042379002046993,predictive
