step,metric,mean,std,type
0,ma_f_b,0.5502520680427552,0.027487845571808524,predictive
0,ma_prec,0.5509179353713989,0.027265691802216815,predictive
0,ma_rec,0.5512926578521729,0.028259442940634278,predictive
0,mae,0.46081159710884095,0.01950816370037469,predictive
0,mi_acc,0.5552964448928833,0.03015571080568554,predictive
0,mi_f_b,0.5061517834663392,0.026813922049927854,predictive
0,mi_prec,0.5133011639118195,0.03673486214354237,predictive
0,mi_rec,0.5009492397308349,0.03520316675488877,predictive
0,rmse,0.5632895112037659,0.01849902167733498,predictive
0,meta_doa,0.5141039733577595,0.003989467439826717,meta
0,pc-er,-0.107562255859375,0.2084441506677368,meta
0,rm,0.05005354752536515,0.013736081010319515,meta
1,ma_f_b,0.5553090810775757,0.023688810743796983,predictive
1,ma_prec,0.5557703018188477,0.023627699302473177,predictive
1,ma_rec,0.5563978910446167,0.024821201570200135,predictive
1,mae,0.45698721408843995,0.018125248063434518,predictive
1,mi_acc,0.5614748120307922,0.026252053822302477,predictive
1,mi_f_b,0.5060592293739319,0.0256179936221307,predictive
1,mi_prec,0.5063003838062287,0.038099756792315406,predictive
1,mi_rec,0.5076551616191864,0.031957431702152074,predictive
1,rmse,0.5593611359596252,0.01683633607263845,predictive
1,meta_doa,0.5191409437678961,0.0019498541641801569,meta
1,pc-er,0.05662841796875,0.18094107757747357,meta
1,rm,0.06558243413305015,0.012962398953443718,meta
2,ma_f_b,0.5603762626647949,0.02172904090116231,predictive
2,ma_prec,0.5606660962104797,0.02177309004845604,predictive
2,ma_rec,0.561670434474945,0.023083983516236597,predictive
2,mae,0.4526196002960205,0.01659122897933955,predictive
2,mi_acc,0.5679122924804687,0.023718151473673822,predictive
2,mi_f_b,0.5052837550640106,0.026304153195913706,predictive
2,mi_prec,0.49750339388847353,0.03866965069651548,predictive
2,mi_rec,0.5149998128414154,0.030024603158581138,predictive
2,rmse,0.5552398800849915,0.015115148036868111,predictive
2,meta_doa,0.5204365615953989,0.0032692075883978414,meta
2,pc-er,0.0391082763671875,0.15607092027540592,meta
2,rm,0.07824890398589417,0.012934394925536326,meta
3,ma_f_b,0.5655390858650208,0.019111467499715557,predictive
3,ma_prec,0.5659143567085266,0.019008290993248963,predictive
3,ma_rec,0.5674559950828553,0.02006792711594939,predictive
3,mae,0.4483709216117859,0.015108066608914446,predictive
3,mi_acc,0.5746287822723388,0.02006032103677472,predictive
3,mi_f_b,0.5048691034317017,0.027749456586854102,predictive
3,mi_prec,0.48940186500549315,0.042285353538673666,predictive
3,mi_rec,0.5231548607349396,0.02648940237021449,predictive
3,rmse,0.5514907956123352,0.013324989619003785,predictive
3,meta_doa,0.5221384186831874,0.0028995644855834683,meta
3,pc-er,0.04339599609375,0.26766816594265896,meta
3,rm,0.0873007746050561,0.015261146025992853,meta
4,ma_f_b,0.5701016306877136,0.01689466195365723,predictive
4,ma_prec,0.5705722689628601,0.016696890933042084,predictive
4,ma_rec,0.5728444576263427,0.0179289519635038,predictive
4,mae,0.44397287368774413,0.013805934516363102,predictive
4,mi_acc,0.5806676387786865,0.017599951357671572,predictive
4,mi_f_b,0.5044487893581391,0.025878387893160725,predictive
4,mi_prec,0.4815910816192627,0.03975295924675134,predictive
4,mi_rec,0.5312814950942993,0.024033902939973574,predictive
4,rmse,0.5478056907653809,0.011698997846834593,predictive
4,meta_doa,0.5227803016312971,0.004320414964247402,meta
4,pc-er,0.0664794921875,0.24581481020588916,meta
4,rm,0.09534931883253987,0.015574472564004469,meta
5,ma_f_b,0.5754240155220032,0.015808129364549926,predictive
5,ma_prec,0.5759797692298889,0.015546432576913169,predictive
5,ma_rec,0.5789493560791016,0.01685380529605403,predictive
5,mae,0.44000510573387147,0.013072935338715461,predictive
5,mi_acc,0.5869655966758728,0.016389884640560237,predictive
5,mi_f_b,0.5068258821964264,0.024150269690860628,predictive
