CDM; dataset; valid_metric; best_valid_metric; best hyperparams
IMPACT; algebra; rmse: 0.433790385723114; {'learning_rate': 0.008921749543575398, 'lambda': 6.883708386254995e-06}
IMPACT; math2; rmse: 0.5279088020324707; {'learning_rate': 0.0030952659036283066, 'lambda': 2.6180638633142202e-05}
IMPACT; assist0910; rmse: 0.48848089575767517; {'learning_rate': 0.0030272604785952922, 'lambda': 2.67605964593852e-06}

NCDM; algebra; rmse: 0.37331822485329497; learning_rate: 2.10315236650495e-05
NCDM; math2; rmse: 0.4574842072635515; learning_rate = 0.0007838402204978467
NCDM; assist0910; rmse:0.4382935564408704; learning_rate = 7.380681029927064e-05
